asv_id,best_reference,similarity_score,confidence,taxonomic_assignment,novelty_candidate
ASV1,Stramenopiles_ref1,0.3040669016039017,low,unassigned,True
ASV2,Metazoa_ref1,0.3148508556694787,low,unassigned,True
ASV3,Metazoa_ref1,0.35119080492159604,low,unassigned,True
ASV4,Metazoa_ref1,0.3649875492413102,low,unassigned,True
ASV5,Metazoa_ref1,0.35598826252947563,low,unassigned,True
ASV6,Metazoa_ref1,0.3571206286755155,low,unassigned,True
ASV7,Metazoa_ref1,0.3688788910154988,low,unassigned,True
ASV8,Metazoa_ref1,0.35045948854027664,low,unassigned,True
ASV9,Rhizaria_ref1,0.341404320065389,low,unassigned,True
ASV10,Rhizaria_ref1,0.3306897637027562,low,unassigned,True
ASV11,Metazoa_ref1,0.3381620147391347,low,unassigned,True
ASV12,Metazoa_ref1,0.352361480472644,low,unassigned,True
ASV13,Metazoa_ref1,0.3692590475223008,low,unassigned,True
ASV14,Stramenopiles_ref1,0.3068090372507091,low,unassigned,True
ASV15,Metazoa_ref1,0.3015346769325051,low,unassigned,True
ASV16,Metazoa_ref1,0.3034886461975167,low,unassigned,True
ASV17,Metazoa_ref1,0.3708453286051466,low,unassigned,True
ASV18,Metazoa_ref1,0.37830364582473414,low,unassigned,True
ASV19,Metazoa_ref1,0.3718224366480863,low,unassigned,True
ASV20,Stramenopiles_ref1,0.3029609908422359,low,unassigned,True
ASV21,Metazoa_ref1,0.27752626118607915,low,unassigned,True
ASV22,Metazoa_ref1,0.2890488254713027,low,unassigned,True
ASV23,Metazoa_ref1,0.3695398020860134,low,unassigned,True
ASV24,Stramenopiles_ref1,0.29967230601404227,low,unassigned,True
ASV25,Rhizaria_ref1,0.36363869968866497,low,unassigned,True
ASV26,Stramenopiles_ref1,0.2995382153112848,low,unassigned,True
ASV27,Metazoa_ref1,0.340782624292312,low,unassigned,True
ASV28,Metazoa_ref1,0.29470776470490784,low,unassigned,True
ASV29,Metazoa_ref1,0.3465064162600103,low,unassigned,True
ASV30,Metazoa_ref1,0.3258045439288886,low,unassigned,True
ASV31,Metazoa_ref1,0.2994230671902993,low,unassigned,True
ASV32,Metazoa_ref1,0.36626994751236175,low,unassigned,True
ASV33,Metazoa_ref1,0.37595495968184905,low,unassigned,True
ASV34,Metazoa_ref1,0.3298969448752511,low,unassigned,True
ASV35,Stramenopiles_ref1,0.30329727574750404,low,unassigned,True
ASV36,Metazoa_ref1,0.3060164577805063,low,unassigned,True
ASV37,Stramenopiles_ref1,0.29950232540085603,low,unassigned,True
ASV38,Stramenopiles_ref1,0.37065512155815566,low,unassigned,True
ASV39,Metazoa_ref1,0.3473487157161191,low,unassigned,True
ASV40,Metazoa_ref1,0.3755166386842804,low,unassigned,True
ASV41,Rhizaria_ref1,0.4003760848227461,low,unassigned,True
ASV42,Metazoa_ref1,0.37637599204478417,low,unassigned,True
ASV43,Rhizaria_ref1,0.339814555988049,low,unassigned,True
ASV44,Metazoa_ref1,0.36636358919697903,low,unassigned,True
ASV45,Metazoa_ref1,0.3464938836023906,low,unassigned,True
ASV46,Metazoa_ref1,0.3699477963044326,low,unassigned,True
ASV47,Rhizaria_ref1,0.35780191523463184,low,unassigned,True
ASV48,Metazoa_ref1,0.37661242013385654,low,unassigned,True
ASV49,Stramenopiles_ref1,0.3422188028942313,low,unassigned,True
ASV50,Stramenopiles_ref1,0.30020247425535457,low,unassigned,True
ASV51,Metazoa_ref1,0.3565548694899972,low,unassigned,True
ASV52,Stramenopiles_ref1,0.34934163873906415,low,unassigned,True
ASV53,Stramenopiles_ref1,0.3648234879894345,low,unassigned,True
ASV54,Metazoa_ref1,0.367289247454401,low,unassigned,True
ASV55,Metazoa_ref1,0.31804320903671185,low,unassigned,True
ASV56,Metazoa_ref1,0.34044027507650626,low,unassigned,True
ASV57,Metazoa_ref1,0.32811959865905965,low,unassigned,True
ASV58,Stramenopiles_ref1,0.29932467023956005,low,unassigned,True
ASV59,Metazoa_ref1,0.33974580309605645,low,unassigned,True
ASV60,Metazoa_ref1,0.33720655131493077,low,unassigned,True
ASV61,Stramenopiles_ref1,0.3770215786299112,low,unassigned,True
ASV62,Metazoa_ref1,0.3544038283545907,low,unassigned,True
ASV63,Rhizaria_ref1,0.34779810346832246,low,unassigned,True
ASV64,Metazoa_ref1,0.33965356819090575,low,unassigned,True
ASV65,Stramenopiles_ref1,0.3456314268295058,low,unassigned,True
ASV66,Metazoa_ref1,0.3685288835641029,low,unassigned,True
ASV67,Stramenopiles_ref1,0.3113254648055397,low,unassigned,True
ASV68,Stramenopiles_ref1,0.3227471953906266,low,unassigned,True
ASV69,Metazoa_ref1,0.31331599166653307,low,unassigned,True
ASV70,Metazoa_ref1,0.34154068728115666,low,unassigned,True
ASV71,Stramenopiles_ref1,0.34426007509300116,low,unassigned,True
ASV72,Metazoa_ref1,0.3534078650677221,low,unassigned,True
ASV73,Metazoa_ref1,0.35891251451409045,low,unassigned,True
ASV74,Metazoa_ref1,0.35110570625429816,low,unassigned,True
ASV75,Stramenopiles_ref1,0.33517926464390857,low,unassigned,True
ASV76,Metazoa_ref1,0.3512272961843793,low,unassigned,True
ASV77,Rhizaria_ref1,0.32533214097987817,low,unassigned,True
ASV78,Metazoa_ref1,0.33660630599825814,low,unassigned,True
ASV79,Metazoa_ref1,0.324365792098646,low,unassigned,True
ASV80,Rhizaria_ref1,0.3513385352690722,low,unassigned,True
ASV81,Rhizaria_ref1,0.34515291729796616,low,unassigned,True
ASV82,Stramenopiles_ref1,0.35331887181276594,low,unassigned,True
ASV83,Metazoa_ref1,0.35526648355559237,low,unassigned,True
ASV84,Stramenopiles_ref1,0.3515790832773592,low,unassigned,True
ASV85,Metazoa_ref1,0.32478686951583885,low,unassigned,True
ASV86,Metazoa_ref1,0.3557191228209146,low,unassigned,True
ASV87,Metazoa_ref1,0.3525729602495585,low,unassigned,True
ASV88,Rhizaria_ref1,0.34919439102753835,low,unassigned,True
ASV89,Metazoa_ref1,0.39087112921748285,low,unassigned,True
ASV90,Stramenopiles_ref1,0.4065817401290708,low,unassigned,True
ASV91,Metazoa_ref1,0.35813710973872004,low,unassigned,True
ASV92,Metazoa_ref1,0.354840315317065,low,unassigned,True
ASV93,Metazoa_ref1,0.33169836738466085,low,unassigned,True
ASV94,Stramenopiles_ref1,0.3373076990964396,low,unassigned,True
ASV95,Rhizaria_ref1,0.37590552108257613,low,unassigned,True
ASV96,Stramenopiles_ref1,0.3751409056303474,low,unassigned,True
ASV97,Metazoa_ref1,0.3386805042276158,low,unassigned,True
